standard,standard_short,criterion,code,evidence,document,source_url,audit_date
Verra VCS and CCB,Verra,introduce_prohibited,2,"VCS Standard prohibits introduction; CCB criterion B2 requires that no known invasive species are introduced and that populations of invasive species do not increase as a result of the project.",VCS Standard v4.7 s3.19.27; CCB Standards v3.1 B2,https://verra.org/wp-content/uploads/CCB-Standards-v3.1_ENG.pdf,2026-07-30
Verra VCS and CCB,Verra,removal_named_eligible,2,"VM0033 has listed improving management practice including removing invasive species as an eligible activity since v1.0 in 2015; VM0047 v1.1 contemplates site preparation by clearing invasive species; VM0045 gives management of competing invasive shrubs as a worked example.",VM0033 v2.1 s4; VM0047 v1.1 s4.2; VM0045 v1.2 A1.2,https://verra.org/wp-content/uploads/2023/09/VM0033-Methodology-for-Tidal-Wetland-and-Seagrass-Restoration-v2.1.pdf,2026-07-30
Verra VCS and CCB,Verra,removal_creditable_carbon,1,"Removal is permitted but never itself credited. VM0045 dynamic matched baselines are the only design in which removal does not register as a net emission, because the invader stands in both project and control plots.",VM0045 v1.2 A1.2,https://verra.org/wp-content/uploads/2025/07/VM0045_IFM_v1.2_07102025_clean.pdf,2026-07-30
Verra VCS and CCB,Verra,biomass_loss_resolved,1,"Partially and only for US forest remaining forest. Elsewhere VM0047 v1.1 falls back on three conditions plus the de minimis rule; Verra confirmed in consultation that no quantitative clearing threshold exists.",VM0047 v1.1 s8.2.1.2; VM0047 v1.1 Summary of Public Consultation,https://verra.org/documents/vm0047-v1-1-summary-of-public-consultation/,2026-07-30
Verra VCS and CCB,Verra,species_named,1,"The only invasive taxa named anywhere in the Verra corpus are Russian olive and water hyacinth, in the draft VM0044 biochar feedstock list.",VM0044 v2.0 draft,https://verra.org/wp-content/uploads/2026/07/VM0044-Biochar-Utilization-in-Soil-and-Non-Soil-Applications-v2.0-draft.pdf,2026-07-30
Verra VCS and CCB,Verra,creditable_non_carbon,2,"SD VISta Nature Framework requires activities preventing expansion of invasive species and scores invasive abundance as a Condition metric, so reducing invasive pressure raises Condition and generates Nature Credits.",SD VISta Nature Framework v1.0 s6.6.1,https://verra.org/wp-content/uploads/2024/10/SD-VISta-Nature-Framework-v1.0.pdf,2026-07-30
Plan Vivo,Plan Vivo,introduce_prohibited,1,"The 2013 absolute prohibition was replaced by a native default with justification; the word invasive now appears once in the whole carbon rulebook, as a risk screening item, and the glossary carries no definition.",PV Climate Project Requirements v5.7 s3.9.5,https://s3.eu-west-2.amazonaws.com/assets.planvivo.org/documents/PV-Climate-Documents/PV-Climate_Project-Requirements_V5.7.pdf,2026-07-30
Plan Vivo,Plan Vivo,removal_named_eligible,0,Not named as an eligible carbon project activity anywhere in the PV Climate requirements.,PV Climate Project Requirements v5.7,https://s3.eu-west-2.amazonaws.com/assets.planvivo.org/documents/PV-Climate-Documents/PV-Climate_Project-Requirements_V5.7.pdf,2026-07-30
Plan Vivo,Plan Vivo,removal_creditable_carbon,0,No crediting route.,PV Climate Project Requirements v5.7,https://s3.eu-west-2.amazonaws.com/assets.planvivo.org/documents/PV-Climate-Documents/PV-Climate_Project-Requirements_V5.7.pdf,2026-07-30
Plan Vivo,Plan Vivo,biomass_loss_resolved,0,Not addressed.,PV Climate Project Requirements v5.7,https://s3.eu-west-2.amazonaws.com/assets.planvivo.org/documents/PV-Climate-Documents/PV-Climate_Project-Requirements_V5.7.pdf,2026-07-30
